GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EconoNova FX - Accounting System,com.econovafx.modules.fixedassets.repository,FixedAssetRepository,206,0,4,0,49,0,21,0,19,0
EconoNova FX - Accounting System,com.econovafx.modules.fixedassets.repository,DepreciationRecordRepository,215,0,2,0,55,0,18,0,17,0
EconoNova FX - Accounting System,com.econovafx.external.bc,TasaCambio,73,0,0,0,31,0,21,0,21,0
EconoNova FX - Accounting System,com.econovafx.external.bc,TasasActivasResponse,24,0,0,0,10,0,7,0,7,0
EconoNova FX - Accounting System,com.econovafx.modules.reporting.model,FinancialReport.ReportLine,102,0,0,0,22,0,14,0,14,0
EconoNova FX - Accounting System,com.econovafx.modules.reporting.model,FinancialReport,131,0,0,0,20,0,17,0,17,0
EconoNova FX - Accounting System,com.econovafx.modules.reporting.model,FinancialReport.ReportType,27,0,0,0,2,0,1,0,1,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.util,ModernDialog,495,0,30,0,114,0,27,0,12,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.util,NotificationService,259,0,10,0,59,0,17,0,12,0
EconoNova FX - Accounting System,com.econovafx.modules.inventory.model,InventoryCategory,125,0,2,0,25,0,17,0,16,0
EconoNova FX - Accounting System,com.econovafx.modules.inventory.model,Warehouse,133,0,0,0,26,0,17,0,17,0
EconoNova FX - Accounting System,com.econovafx.modules.inventory.model,InventoryItem,254,0,2,0,58,0,36,0,35,0
EconoNova FX - Accounting System,com.econovafx.modules.inventory.model,InventoryMovement.MovementType,27,0,0,0,5,0,1,0,1,0
EconoNova FX - Accounting System,com.econovafx.modules.inventory.model,InventoryMovement,212,0,6,0,46,0,31,0,28,0
EconoNova FX - Accounting System,com.econovafx.modules.inventory.model,ValuationMethod,28,0,0,0,7,0,3,0,3,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,SecurityUtil,543,0,90,0,128,0,78,0,33,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,RequiresRole.Logical,15,0,0,0,3,0,1,0,1,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,PermissionInterceptor,39,0,6,0,13,0,5,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,Permissions,802,0,10,0,156,0,11,0,6,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,RoleInterceptor,55,0,8,0,14,0,6,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,AuthorizationException,9,0,0,0,4,0,2,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,TenantValidationInterceptor,79,0,4,0,18,0,5,0,3,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,AuthService,55,0,10,0,15,0,9,0,4,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,AuthenticationInterceptor,14,0,2,0,5,0,3,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,PasswordService,24,0,4,0,7,0,5,0,3,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,RequiresPermission.Logical,15,0,0,0,3,0,1,0,1,0
EconoNova FX - Accounting System,com.econovafx.modules.core.security,Permission,62,0,6,0,16,0,11,0,8,0
EconoNova FX - Accounting System,com.econovafx.modules.cash.repository,CashBoxRepository,93,0,4,0,20,0,10,0,8,0
EconoNova FX - Accounting System,com.econovafx.modules.cash.repository,CashMovementRepository,138,0,14,0,21,0,19,0,12,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,Company,172,0,0,0,40,0,24,0,24,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,AuditLog.OperationType,0,123,0,0,0,21,0,1,0,1
EconoNova FX - Accounting System,com.econovafx.modules.core.model,User.UserRole,27,0,0,0,5,0,1,0,1,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,ReportDefinition,117,0,0,0,18,0,15,0,15,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,AuditLog,59,123,0,0,18,22,14,11,14,11
EconoNova FX - Accounting System,com.econovafx.modules.core.model,User,186,0,0,0,44,0,24,0,24,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,SystemConfiguration,494,0,0,0,126,0,69,0,69,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,ExchangeRate.RateType,27,0,0,0,5,0,1,0,1,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,ExchangeRate,207,0,4,0,46,0,26,0,24,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,ReportDefinition.ReportType,27,0,0,0,5,0,1,0,1,0
EconoNova FX - Accounting System,com.econovafx.modules.core.model,BaseEntity,59,56,0,0,24,7,15,4,15,4
EconoNova FX - Accounting System,com.econovafx.modules.core.model,Currency,205,0,0,0,45,0,22,0,22,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,WarehouseConfigController.new TableCell() {...},35,0,8,0,7,0,6,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,ExchangeRatesController.new TableCell() {...},29,0,4,0,6,0,4,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,ExchangeRatesController.new TableCell() {...},29,0,4,0,6,0,4,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,ExchangeRatesController.new TableCell() {...},29,0,4,0,6,0,4,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,ExchangeRatesController.new TableCell() {...},29,0,4,0,6,0,4,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,WarehouseConfigController,979,0,78,0,212,0,63,0,24,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,ExchangeRatesController,417,0,8,0,93,0,32,0,28,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,AuditLogsController.new TableCell() {...},38,0,8,0,8,0,6,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,AuditLogsController.new TableCell() {...},49,0,2,0,13,0,4,0,3,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,SystemSettingsController,644,0,17,0,100,0,24,0,13,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,MainViewController,624,0,28,0,186,0,53,0,39,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,AuditLogsController,672,0,46,0,145,0,46,0,23,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,DashboardController.new TableCell() {...},35,0,8,0,8,0,6,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,DashboardController.new TimerTask() {...},23,0,0,0,8,0,3,0,3,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,DashboardController.new TableCell() {...},25,0,4,0,6,0,4,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,DashboardController.new TableCell() {...},25,0,4,0,6,0,4,0,2,0
EconoNova FX - Accounting System,com.econovafx.modules.core.ui.controller,DashboardController,1400,0,91,0,319,0,92,0,44,0
EconoNova FX - Accounting System,com.econovafx.modules.cash.service,CashMovementService,302,0,44,0,73,0,35,0,13,0
EconoNova FX - Accounting System,com.econovafx.modules.core.service,BCCExchangeRateClient.BCCRateDTO,33,0,0,0,6,0,6,0,6,0
EconoNova FX - Accounting System,com.econovafx.modules.core.service,BCCExchangeRateFetcher,491,0,92,0,117,0,64,0,11,0
